Número;Ticket#;Antigüedad;Título;Creado;Last Changed;Fecha de cierre;Cola;Estado;Prioridad;Tiempo contabilizado;SolutionTime;Proceso;Actividad;Cliente;Parche;Estandar;Soporte;Estado de implementacion;Parche Normalizado;Resultado del pasaje;Fecha de aplicacion en TEST;Fecha de aplicacion en PROD;OT;Horas NM;Tipo;Dificultad;Consultor;Estado Desarrollo de OTs;OT Dependiente;Fecha Desarrollo Iniciado;Fecha Fin de Desarrollo;Desarrollador;Fecha Estimada de Entrega;Ticket;Funcional;Modulo / Entidad
50;2022010101000024;180 d 5 h ;OT_PD_20211231_01: WS Registro de Solicitud;2022-01-01 13:48:47;2022-01-22 14:17:09;2022-01-22 14:17:09;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220111pd-01 co20220103pd-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20211231_01;6;WSP;5;Andres Veiga;Desarrollo Finalizado;;2022-01-03 10:03:00;2022-01-17 09:51:00;sak;2022-01-03 10:03:00;;;
51;2022010101000033;180 d 5 h ;OT_PD_20211231_02: Wizzards de Originación: Retoques solicitados por el Cliente;2022-01-01 14:06:29;2022-01-22 14:22:47;2022-01-22 14:22:47;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220114pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20211231_02;1;WIZ;2;Andres Veiga;Desarrollo Finalizado;;2022-01-14 18:52:00;2022-01-17 12:09:00;sak;2022-01-14 18:52:00;;;
52;2022010101000051;180 d 4 h ;OT_PD_20211231_03: Ampliación de FN_X_PD_SOLICITUDES;2022-01-01 14:17:21;2022-01-22 14:23:16;2022-01-22 14:23:16;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220103pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20211231_03;1;SQL;1;Andres Veiga;Desarrollo Finalizado;;2022-01-03 10:02:00;2022-01-17 09:50:00;sak;2022-01-03 10:02:00;;;
53;2022010101000061;180 d 4 h ;OT_PD_20211231_04: Trámite de Venta de Cartera;2022-01-01 14:35:18;2022-01-22 14:24:01;2022-01-22 14:24:01;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220106pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20211231_04;4;TRA;5;Andres Veiga;Desarrollo Finalizado;;2022-01-06 08:00:00;2022-01-10 14:52:00;mes;2022-01-07 12:00:00;;;
54;2022010101000079;180 d 4 h ;OT_PD_20211231_05: Ampliación del Exportador de Actualización de Deuda;2022-01-01 14:40:38;2022-01-22 14:24:35;2022-01-22 14:24:35;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220117pd-01 co20220105pd-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20211231_05;1;SQL;2;Andres Veiga;Desarrollo Finalizado;;2022-01-05 11:57:00;2022-01-17 15:32:00;eis;2022-01-05 11:57:00;;;
55;2022010101000088;180 d 4 h ;OT_PD_20211231_06: Crear Reporte de Procesos encolados;2022-01-01 14:56:55;2022-01-31 16:41:02;2022-01-31 16:40:54;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220107-03;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20211231_06;8;REP;1;Andres Veiga;Desarrollo Finalizado;;2022-01-07 14:23:00;2022-01-17 09:49:00;sak;2022-01-07 14:23:00;;;
56;2022010301000048;178 d 10 h ;Proceso de Cierre de Cartera;2022-01-03 08:58:16;2022-02-02 15:26:40;2022-02-02 15:26:40;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220106-03;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20211231_01;6;SQL;5;Juan Fernandez;Desarrollo Finalizado;;2022-01-06 12:58:00;2022-01-20 12:22:00;gpg;2022-01-06 12:58:00;;;
57;2022010301000119;178 d 5 h ;Proceso de Rendición a Comercios;2022-01-03 13:19:56;2022-02-02 15:26:20;2022-02-02 15:26:20;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220106-02;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20220103_01;6;SQL;4;Juan Fernandez;Desarrollo Finalizado;;2022-01-06 10:19:00;2022-01-20 11:24:00;gpg;2022-01-06 10:19:00;;;
58;2022010301000128;178 d 5 h ;"Solapa de ""Condiciones"" en el ABM de Modelos de Rendición.";2022-01-03 13:33:26;2022-01-13 16:21:42;2022-01-13 16:21:42;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220106-04;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_WF_20220103_02;3;ABM;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-05 14:17:00;2022-01-07 17:48:00;grp;2022-01-06 14:17:00;;;
59;2022010301000137;178 d 5 h ;Permiso Inválido en las Rendiciones;2022-01-03 13:55:44;2022-01-13 16:20:23;2022-01-13 16:20:23;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220104-01;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_WF_20220103_01;1;SQL;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-04 11:36:00;2022-01-07 12:31:00;eis;2022-01-04 12:36:00;;;
60;2022010401000144;177 d 2 h ;arreglo hora en carga de tratamiento/diag. manual;2022-01-04 16:13:06;2022-02-10 00:00:44;2022-02-10 00:00:44;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Pao;co20220110pa-01, co20220113-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;S/OT;1;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-10 17:09:00;2022-01-13 17:39:00;gpg;2022-01-10 17:09:00;;;
61;2022010501000071;176 d 6 h ;Cambios en el ABM Compañías y Planes de seguro LA;2022-01-05 12:58:44;2022-02-02 15:27:16;2022-02-02 15:27:16;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20220110-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_LA_20220105_01;2;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-10 09:30:00;2022-01-10 11:31:00;eis;2022-01-10 11:19:00;;;
62;2022010601000051;175 d 8 h ;Resumen estandar de TC_ Multi-cuentas;2022-01-06 10:58:50;2022-01-13 16:22:33;2022-01-13 16:22:33;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220107-02;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_WF_20220106_01;1;CGI;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-06 14:19:00;2022-01-07 18:18:00;grp;2022-01-07 14:19:00;;;
63;2022010701000022;174 d 8 h ;OT_FR_20220104_01 menu finrap;2022-01-07 10:17:29;2022-01-13 09:52:21;2022-01-13 09:52:21;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Anwalt;co20220110fr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220104_01;2;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-10 15:00:00;2022-01-12 11:00:00;mes;2022-01-10 08:00:00;;;
64;2022010701000031;174 d 8 h ;OT_FR_20220104_03 mod. nombre y fecha hasta;2022-01-07 10:21:49;2022-01-13 16:47:42;2022-01-13 16:47:42;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220107fr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220104_03;2;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-07 17:38:00;2022-01-13 16:24:00;gpg;2022-01-07 17:38:00;;;
65;2022010701000086;174 d 1 h ;Modificaciones al Trámite de Envío de Débito;2022-01-07 17:13:32;2022-03-02 14:42:15;2022-03-02 14:42:15;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220110ch-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20220107_01;6;SQL;4;Juan Fernandez;Desarrollo Finalizado;;2022-01-10 16:30:00;2022-01-13 13:05:00;gpg;2022-01-10 16:30:00;;;
66;2022010901000019;171 d 20 h ;Modificación Valor de que aparece en Certificado de Garantía cuando se trata de una refinanciación;2022-01-09 22:15:19;2022-01-20 20:56:46;2022-01-20 20:56:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220118bf-03;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20220107_01;2;CGI;4;Nestor Paladino;Desarrollo Finalizado;;2022-01-18 12:26:00;2022-01-19 10:26:00;sak;2022-01-18 12:26:00;;;
67;2022010901000028;171 d 19 h ;OT_FR_20220104_02 Nombre de los planes automatcos;2022-01-09 23:23:17;2022-01-13 09:52:40;2022-01-13 09:52:40;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220110fr-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_FR_20220104_02;2;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-10 15:00:00;2022-01-11 09:07:00;mes;2022-01-10 18:00:00;;;
68;2022010901000037;171 d 19 h ;OT_FR_20220104_04 herramienta para copiar planes;2022-01-09 23:25:31;2022-02-10 00:03:23;2022-02-10 00:03:23;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220113fr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220104_04;6;DLG;1;Diego Bonino;Desarrollo Finalizado;;2022-01-13 12:59:00;2022-01-17 09:15:00;eis;2022-01-13 12:59:00;;;
69;2022011001000114;170 d 23 h ;OT_FR_20220110_01 Herramienta modificacion planes;2022-01-10 19:11:17;2022-01-13 16:44:13;2022-01-13 16:44:13;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220112fr-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220110_01;6;DLG;1;Diego Bonino;Desarrollo Finalizado;;2022-01-12 18:00:00;2022-01-13 10:46:00;gpg;2022-01-12 18:00:00;;;
70;2022011001000123;170 d 23 h ;OT_FR_20220110_02 modificacion en solapa atributos;2022-01-10 19:13:15;2022-01-13 16:44:30;2022-01-13 16:44:30;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220112fr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220110_02;2;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-12 08:00:00;2022-01-13 16:24:00;mes;2022-01-12 17:00:00;;;
71;2022011001000132;170 d 23 h ;OT_FR_20220110_03 modificacion en PDVS;2022-01-10 19:14:59;2022-02-02 15:27:39;2022-02-02 15:27:39;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;FinRap;co20220114-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_FR_20220110_03;1;ABM;1;Diego Bonino;Desarrollo Finalizado;;2022-01-14 11:59:00;2022-01-17 15:32:00;eis;2022-01-14 11:59:00;;;
72;2022011001000141;170 d 20 h ;Trámite de Envío de Débito para Carpetas;2022-01-10 22:50:46;2022-03-02 14:42:32;2022-03-02 14:42:32;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220113ch-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_CH_20220110_01;1;SQL;1;Juan Fernandez;Desarrollo Finalizado;OT_CH_20220107_01;2022-01-13 15:23:00;2022-01-17 13:03:00;gpg;2022-01-13 15:23:00;;;
73;2022011101000023;170 d 10 h ;Reversa de Pagos pendientes de confirmación;2022-01-11 08:45:50;2022-03-23 15:34:33;2022-03-23 15:34:33;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Comahue;co20220114ch-03;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_CH_20220110_02;8;SQL;6;Juan Fernandez;Desarrollo Finalizado;OT_CH_20220110_01;2022-01-14 17:25:00;2022-01-17 17:01:00;gpg;2022-01-14 17:25:00;;;
74;2022011201000012;169 d 10 h ;OT_CH_20220111_01 arreglos wizard originacion;2022-01-12 08:54:51;2022-02-02 15:28:10;2022-02-02 15:28:10;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220114ch-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_CH_20220111_01;1;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-13 13:30:00;2022-01-14 13:05:00;mes;2022-01-13 16:00:00;;;
75;2022011201000021;169 d 10 h ;OT_CH_20220111_02 arreglos tramites tarjeta;2022-01-12 08:57:29;2022-02-10 00:05:46;2022-02-10 00:05:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220114ch-04;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20220111_02;1;TRA;1;Diego Bonino;Desarrollo Finalizado;;2022-01-14 18:00:00;2022-02-02 17:29:00;mes;2022-01-14 13:00:00;;;
76;2022011201000058;169 d 8 h ;OT_PA_20220112_01 modificacionen abm;2022-01-12 10:49:57;2022-02-14 14:22:13;2022-02-14 14:22:13;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Pao;co20220113-02;Unchecked;Unchecked;Error en implementacion;Unchecked;Error;;;OT_PA_20220112_01;2;ABM;1;Diego Bonino;Desarrollo Finalizado;;2022-01-13 11:00:00;2022-01-13 16:58:00;mes;2022-01-13 13:00:00;;;
77;2022011301000011;168 d 17 h ;Modificaciones wizzard OM/DGCEL;2022-01-13 01:49:02;2022-01-22 14:25:06;2022-01-22 14:25:06;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220112pd-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;SIN OT;6;WIZ;3;Andres Veiga;Desarrollo Finalizado;;2022-01-13 01:54:00;2022-01-17 09:51:00;sak;2022-01-13 01:54:00;;;
78;2022011301000029;168 d 8 h ;Modificación Solicitud V-TEX para que devuelva RedirecTO en la Respuesta.;2022-01-13 10:14:07;2022-05-17 13:59:34;2022-05-17 13:59:34;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Visir;co20220113vs-01;Unchecked;Unchecked;En prueba TEST;;Correcto;;;SIN_OT;3;WSP;1;Andres Veiga;Desarrollo Finalizado;;2022-01-13 08:00:00;2022-01-13 15:55:00;mes;2022-01-13 11:00:00;;;
79;2022011301000074;168 d 7 h ;Error en los niveles del ABM de Comercios y Establecimientos;2022-01-13 11:50:38;2022-01-20 21:22:09;2022-01-20 21:22:09;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220114-02;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_WF_20220113_01;1;ABM;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-14 15:22:00;2022-01-17 13:40:00;eis;2022-01-14 15:22:00;;;
80;2022011301000083;168 d 6 h ;Error en SP_XT_AU_CARGA_PARAMS;2022-01-13 12:37:01;2022-01-20 13:47:13;2022-01-20 13:47:13;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Normalizando Parche;Comahue;;Unchecked;Unchecked;En normalizacion de Parche;Unchecked;;;;INC_CH_20220113_01;1;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-14 12:31:00;2022-01-14 12:31:00;gpg;2022-01-14 12:31:00;;;
81;2022011301000092;168 d 6 h ;WSP Información de Cliente en MORA;2022-01-13 12:47:10;2022-05-23 15:47:51;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220118la-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220113_01;6;WSP;4;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-18 09:30:00;2022-01-20 11:03:00;mes;2022-01-18 17:00:00;;;
82;2022011301000127;168 d 2 h ;Importador de Pagos;2022-01-13 16:36:38;2022-03-02 09:13:46;2022-01-20 13:45:26;Implementacion;closed successful;3 normal;0;;OTs;Para pasar parche a ...;Auto Cash;co202220119ah-01;Unchecked;Unchecked;Para implementar en PROD;;Aplicar;;;OT_AH_20220113_01;4;IMP;3;Juan Fernandez;Desarrollo Finalizado;;2022-01-18 15:30:00;2022-01-19 15:53:00;mes;2022-01-19 14:00:00;;;
83;2022011301000136;168 d 1 h ;sin ot error en tramite de deposito;2022-01-13 17:53:20;2022-02-02 15:31:30;2022-02-02 15:31:30;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PrestoMas;co20220117-01 , co20220117pm-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;S/OT;2;TRA;1;Diego Bonino;Desarrollo Finalizado;;2022-01-17 13:02:00;2022-01-17 17:53:00;gpg;2022-01-17 13:02:00;;;
84;2022011401000091;167 d 1 h ;Modicicacion de VTEX para Notificar un rechazado cuando caduca un tramite.;2022-01-14 17:24:50;2022-05-17 14:01:24;2022-05-17 14:01:23;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Visir;co20220117vs-01 co20220114vs-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;SIN_OT;1;SQL;1;Andres Veiga;Desarrollo Finalizado;;2022-01-14 17:29:00;2022-01-19 17:06:00;sak;2022-01-14 17:29:00;;;
85;2022011701000156;164 d 0 h ;Reporte Baja de Débito Automático;2022-01-17 18:16:02;2022-04-13 14:29:50;2022-04-13 09:39:12;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20220119la-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_LA_20220114_01;4;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220112_01;2022-01-18 17:52:00;2022-01-19 15:30:00;jm;2022-01-19 17:52:00;;;
86;2022011901000063;162 d 2 h ;Incidencias Reportes Seguros BICE;2022-01-19 16:23:31;2022-01-27 15:41:08;2022-01-27 15:41:08;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220121bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;INC_BF_20220120_01;1;ABM;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-20 13:00:00;2022-01-27 10:09:00;mes;2022-01-21 12:00:00;;;
87;2022012001000088;161 d 2 h ;ABM Tipo de Actividades;2022-01-20 16:20:30;2022-02-10 19:30:26;2022-02-10 19:30:26;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220121pr-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PR_20220120_01;3;ABM;3;Juan Fernandez;Desarrollo Finalizado;;2022-01-21 15:00:00;2022-01-24 09:18:00;jm;2022-01-21 18:00:00;;;
88;2022012001000097;161 d 2 h ;Creación de estructura de tablas;2022-01-20 16:32:22;2022-02-10 19:30:52;2022-02-10 19:30:52;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220124pr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PR_20220120_02;1;SQL;1;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220120_01;2022-01-21 15:00:00;2022-01-27 09:19:00;mes;2022-01-24 12:00:00;;;
89;2022012001000113;161 d 1 h ;Wizard de Originación para Prestama;2022-01-20 17:11:01;2022-02-01 10:57:46;2022-02-01 10:57:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Prestama;co20220127pr-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_PR_20220120_03;10;WIZ;5;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220120_02;2022-01-26 17:36:00;2022-01-28 13:00:00;sak;2022-02-26 17:36:00;;;
90;2022012001000122;161 d 1 h ;Plantilla de trámite;2022-01-20 17:28:43;2022-02-01 10:50:41;2022-02-01 10:50:41;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Prestama;co20220127pr-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_PR_20220120_04;3;HTML;1;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220120_03;2022-01-21 17:00:00;2022-01-28 15:55:00;jm;2022-01-24 11:00:00;;;
91;2022012001000131;161 d 1 h ;SP de Liquidación de Préstamo;2022-01-20 17:50:34;2022-03-23 15:21:39;2022-03-23 15:21:38;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Prestama;co20220127pr-03;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_PR_20220120_05;3;SQL;1;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220120_02;2022-01-24 15:00:00;2022-02-11 09:52:00;jm;2022-01-24 18:00:00;;;
92;2022012001000141;161 d 1 h ;Importador de Pagos;2022-01-20 17:55:03;2022-02-10 19:29:33;2022-02-10 19:29:33;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220121pr-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PR_20220120_06;3;IMP;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-21 11:30:00;2022-01-25 09:21:00;mes;2022-01-21 14:00:00;;;
93;2022012101000013;160 d 9 h ;Ajustes Solapa Contacto , Tarjeta y  Préstamos - Proyecto  LA Préstamos;2022-01-21 09:50:46;2022-05-23 15:49:25;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220124la-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220121_01;2;HTML;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-21 15:30:00;2022-01-27 09:07:00;mes;2022-01-24 18:00:00;;;
94;2022012101000121;160 d 4 h ;Ajuste ABM Feriados;2022-01-21 14:47:13;2022-02-02 15:40:26;2022-02-02 15:40:26;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20220124la-01 , co20220124-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_LA_20220121_02;2;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-24 13:47:00;2022-01-25 13:56:00;gpg;2022-01-24 13:47:00;;;
95;2022012401000071;157 d 2 h ;Trámites Prestamos LA - Revisión;2022-01-24 16:44:21;2022-04-01 12:19:20;2022-04-01 12:19:19;Consultoría::Para Testear Cliente;closed successful;3 normal;0;;OTs;Normalizando Parche;La Anonima;Sin parche al momento;Unchecked;Unchecked;En normalizacion de Parche;;;;;INC_LA_20220124_01;2;TRA;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-25 12:00:00;2022-01-25 13:32:00;jm;2022-01-25 15:00:00;;;
96;2022012401000081;157 d 1 h ;ABM Tipos de Feriados;2022-01-24 17:19:12;2022-06-21 07:47:13;2022-02-02 15:43:03;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;"co20220126-01;co20220128la-01";Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_LA_20220124_01;2;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-25 16:30:00;2022-01-28 18:39:00;jm;2022-01-26 09:30:00;;;
97;2022012501000042;156 d 7 h ;Modificar tabla XP_GARANTIAS BICE ESTANDAR;2022-01-25 11:13:47;2022-02-02 15:32:04;2022-02-02 15:32:04;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220125-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20210125_01;1;SQL;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-25 12:49:00;2022-01-25 13:13:00;gpg;2022-01-25 12:49:00;;;
98;2022012601000068;155 d 6 h ;Notificaciones Internas BICE Seguros;2022-01-26 12:14:25;2022-01-27 16:28:59;2022-01-27 16:28:59;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220126bf-03;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;INC_BF_20220126_01;2;SQL;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-26 13:14:00;2022-01-27 11:45:00;sak;2022-01-26 13:14:00;;;
99;2022012601000077;155 d 6 h ;OT_PD_20220126_01: Modificación del ABM de Tipos de Movimientos de Préstamo;2022-01-26 12:47:59;2022-02-01 00:09:03;2022-02-01 00:09:03;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220126-03;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20220126_01;2;ABM;1;Andres Veiga;Desarrollo Finalizado;;2022-01-26 14:30:00;2022-01-31 14:33:00;jm;2022-01-26 16:30:00;;;
100;2022012601000086;155 d 6 h ;OT_PD_20220126_02: Mejoras visuales al ABM de Configuración de Contabilidad;2022-01-26 12:49:50;2022-01-28 17:56:02;2022-01-28 17:56:02;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220126-06;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20220126_02;1;ABM;1;Andres Veiga;Desarrollo Finalizado;;2022-01-26 17:36:00;2022-01-28 10:33:00;jm;2022-01-26 18:00:00;;;
101;2022012601000095;155 d 6 h ;OT_PD_20220126_03: ABM de Orígenes de Pago;2022-01-26 12:51:35;2022-02-01 00:11:42;2022-02-01 00:11:42;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220127-04;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20220126_03;4;ABM;3;Andres Veiga;Desarrollo Finalizado;;2022-01-26 15:51:00;2022-01-28 18:53:00;grp;2022-01-27 17:51:00;;;
102;2022012601000102;155 d 6 h ;OT_PD_20220126_04: Traspaso de Configuración de Orígenes de Pago;2022-01-26 12:53:24;2022-02-01 00:13:04;2022-02-01 00:13:04;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220127pd-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20220126_04;2;SQL;3;Andres Veiga;Desarrollo Finalizado;;2022-01-27 11:00:00;2022-01-28 18:31:00;jm;2022-01-27 13:00:00;;;
